# Starting date:             2015-05-16 18:11:04
# Cluster job name:          universality
# Cluster job ID:            7369734
# Cluster node:              hnode21
# Cluster queue:             mpi.q
# GOAL command:              universal -m piterman -eq -ro
# Input data:                goal.tar.gz
# Memory limit (Java heap):  2G
# Timeout (CPU time):        No timeout
id,universal,dt,da,file
33,N,1.0,0.1,s15_t1.0_a0.1_033.gff
34,N,1.0,0.1,s15_t1.0_a0.1_034.gff
35,N,1.0,0.1,s15_t1.0_a0.1_035.gff
36,N,1.0,0.1,s15_t1.0_a0.1_036.gff
37,N,1.0,0.1,s15_t1.0_a0.1_037.gff
38,N,1.0,0.1,s15_t1.0_a0.1_038.gff
39,N,1.0,0.1,s15_t1.0_a0.1_039.gff
40,N,1.0,0.1,s15_t1.0_a0.1_040.gff
41,N,1.0,0.1,s15_t1.0_a0.1_041.gff
42,N,1.0,0.1,s15_t1.0_a0.1_042.gff
43,N,1.0,0.1,s15_t1.0_a0.1_043.gff
44,N,1.0,0.1,s15_t1.0_a0.1_044.gff
45,N,1.0,0.1,s15_t1.0_a0.1_045.gff
46,N,1.0,0.1,s15_t1.0_a0.1_046.gff
47,N,1.0,0.1,s15_t1.0_a0.1_047.gff
48,N,1.0,0.1,s15_t1.0_a0.1_048.gff
49,N,1.0,0.1,s15_t1.0_a0.1_049.gff
50,Y,1.0,0.1,s15_t1.0_a0.1_050.gff
51,N,1.0,0.1,s15_t1.0_a0.1_051.gff
52,N,1.0,0.1,s15_t1.0_a0.1_052.gff
53,N,1.0,0.1,s15_t1.0_a0.1_053.gff
54,N,1.0,0.1,s15_t1.0_a0.1_054.gff
55,N,1.0,0.1,s15_t1.0_a0.1_055.gff
56,N,1.0,0.1,s15_t1.0_a0.1_056.gff
57,N,1.0,0.1,s15_t1.0_a0.1_057.gff
58,N,1.0,0.1,s15_t1.0_a0.1_058.gff
59,N,1.0,0.1,s15_t1.0_a0.1_059.gff
60,N,1.0,0.1,s15_t1.0_a0.1_060.gff
61,N,1.0,0.1,s15_t1.0_a0.1_061.gff
62,N,1.0,0.1,s15_t1.0_a0.1_062.gff
63,N,1.0,0.1,s15_t1.0_a0.1_063.gff
64,N,1.0,0.1,s15_t1.0_a0.1_064.gff
65,N,1.0,0.1,s15_t1.0_a0.1_065.gff
66,N,1.0,0.1,s15_t1.0_a0.1_066.gff
67,N,1.0,0.1,s15_t1.0_a0.1_067.gff
68,N,1.0,0.1,s15_t1.0_a0.1_068.gff
69,N,1.0,0.1,s15_t1.0_a0.1_069.gff
70,N,1.0,0.1,s15_t1.0_a0.1_070.gff
71,N,1.0,0.1,s15_t1.0_a0.1_071.gff
72,N,1.0,0.1,s15_t1.0_a0.1_072.gff
73,N,1.0,0.1,s15_t1.0_a0.1_073.gff
74,N,1.0,0.1,s15_t1.0_a0.1_074.gff
75,N,1.0,0.1,s15_t1.0_a0.1_075.gff
76,N,1.0,0.1,s15_t1.0_a0.1_076.gff
77,N,1.0,0.1,s15_t1.0_a0.1_077.gff
78,N,1.0,0.1,s15_t1.0_a0.1_078.gff
79,N,1.0,0.1,s15_t1.0_a0.1_079.gff
80,N,1.0,0.1,s15_t1.0_a0.1_080.gff
81,N,1.0,0.1,s15_t1.0_a0.1_081.gff
82,N,1.0,0.1,s15_t1.0_a0.1_082.gff
83,N,1.0,0.1,s15_t1.0_a0.1_083.gff
84,N,1.0,0.1,s15_t1.0_a0.1_084.gff
85,N,1.0,0.1,s15_t1.0_a0.1_085.gff
86,N,1.0,0.1,s15_t1.0_a0.1_086.gff
87,N,1.0,0.1,s15_t1.0_a0.1_087.gff
88,N,1.0,0.1,s15_t1.0_a0.1_088.gff
89,N,1.0,0.1,s15_t1.0_a0.1_089.gff
90,N,1.0,0.1,s15_t1.0_a0.1_090.gff
91,N,1.0,0.1,s15_t1.0_a0.1_091.gff
92,N,1.0,0.1,s15_t1.0_a0.1_092.gff
93,N,1.0,0.1,s15_t1.0_a0.1_093.gff
94,N,1.0,0.1,s15_t1.0_a0.1_094.gff
95,N,1.0,0.1,s15_t1.0_a0.1_095.gff
96,N,1.0,0.1,s15_t1.0_a0.1_096.gff
97,Y,1.0,0.1,s15_t1.0_a0.1_097.gff
98,N,1.0,0.1,s15_t1.0_a0.1_098.gff
99,N,1.0,0.1,s15_t1.0_a0.1_099.gff
100,N,1.0,0.1,s15_t1.0_a0.1_100.gff
101,N,1.0,0.2,s15_t1.0_a0.2_001.gff
102,N,1.0,0.2,s15_t1.0_a0.2_002.gff
103,Y,1.0,0.2,s15_t1.0_a0.2_003.gff
104,N,1.0,0.2,s15_t1.0_a0.2_004.gff
105,N,1.0,0.2,s15_t1.0_a0.2_005.gff
106,N,1.0,0.2,s15_t1.0_a0.2_006.gff
107,N,1.0,0.2,s15_t1.0_a0.2_007.gff
108,N,1.0,0.2,s15_t1.0_a0.2_008.gff
109,N,1.0,0.2,s15_t1.0_a0.2_009.gff
110,N,1.0,0.2,s15_t1.0_a0.2_010.gff
111,N,1.0,0.2,s15_t1.0_a0.2_011.gff
112,N,1.0,0.2,s15_t1.0_a0.2_012.gff
113,N,1.0,0.2,s15_t1.0_a0.2_013.gff
114,N,1.0,0.2,s15_t1.0_a0.2_014.gff
115,N,1.0,0.2,s15_t1.0_a0.2_015.gff
116,N,1.0,0.2,s15_t1.0_a0.2_016.gff
117,N,1.0,0.2,s15_t1.0_a0.2_017.gff
118,N,1.0,0.2,s15_t1.0_a0.2_018.gff
119,N,1.0,0.2,s15_t1.0_a0.2_019.gff
120,N,1.0,0.2,s15_t1.0_a0.2_020.gff
121,N,1.0,0.2,s15_t1.0_a0.2_021.gff
122,N,1.0,0.2,s15_t1.0_a0.2_022.gff
123,N,1.0,0.2,s15_t1.0_a0.2_023.gff
124,N,1.0,0.2,s15_t1.0_a0.2_024.gff
125,N,1.0,0.2,s15_t1.0_a0.2_025.gff
126,N,1.0,0.2,s15_t1.0_a0.2_026.gff
127,N,1.0,0.2,s15_t1.0_a0.2_027.gff
128,N,1.0,0.2,s15_t1.0_a0.2_028.gff
129,N,1.0,0.2,s15_t1.0_a0.2_029.gff
130,N,1.0,0.2,s15_t1.0_a0.2_030.gff
131,N,1.0,0.2,s15_t1.0_a0.2_031.gff
132,N,1.0,0.2,s15_t1.0_a0.2_032.gff
133,N,1.0,0.2,s15_t1.0_a0.2_033.gff
134,N,1.0,0.2,s15_t1.0_a0.2_034.gff
135,N,1.0,0.2,s15_t1.0_a0.2_035.gff
136,N,1.0,0.2,s15_t1.0_a0.2_036.gff
137,N,1.0,0.2,s15_t1.0_a0.2_037.gff
138,N,1.0,0.2,s15_t1.0_a0.2_038.gff
139,N,1.0,0.2,s15_t1.0_a0.2_039.gff
140,N,1.0,0.2,s15_t1.0_a0.2_040.gff
141,N,1.0,0.2,s15_t1.0_a0.2_041.gff
142,N,1.0,0.2,s15_t1.0_a0.2_042.gff
143,N,1.0,0.2,s15_t1.0_a0.2_043.gff
144,N,1.0,0.2,s15_t1.0_a0.2_044.gff
145,N,1.0,0.2,s15_t1.0_a0.2_045.gff
146,N,1.0,0.2,s15_t1.0_a0.2_046.gff
147,N,1.0,0.2,s15_t1.0_a0.2_047.gff
148,N,1.0,0.2,s15_t1.0_a0.2_048.gff
149,N,1.0,0.2,s15_t1.0_a0.2_049.gff
150,N,1.0,0.2,s15_t1.0_a0.2_050.gff
151,N,1.0,0.2,s15_t1.0_a0.2_051.gff
152,N,1.0,0.2,s15_t1.0_a0.2_052.gff
153,N,1.0,0.2,s15_t1.0_a0.2_053.gff
154,N,1.0,0.2,s15_t1.0_a0.2_054.gff
155,N,1.0,0.2,s15_t1.0_a0.2_055.gff
156,N,1.0,0.2,s15_t1.0_a0.2_056.gff
157,Y,1.0,0.2,s15_t1.0_a0.2_057.gff
158,N,1.0,0.2,s15_t1.0_a0.2_058.gff
159,N,1.0,0.2,s15_t1.0_a0.2_059.gff
160,N,1.0,0.2,s15_t1.0_a0.2_060.gff
161,N,1.0,0.2,s15_t1.0_a0.2_061.gff
162,N,1.0,0.2,s15_t1.0_a0.2_062.gff
163,N,1.0,0.2,s15_t1.0_a0.2_063.gff
164,N,1.0,0.2,s15_t1.0_a0.2_064.gff
165,N,1.0,0.2,s15_t1.0_a0.2_065.gff
166,N,1.0,0.2,s15_t1.0_a0.2_066.gff
167,N,1.0,0.2,s15_t1.0_a0.2_067.gff
168,Y,1.0,0.2,s15_t1.0_a0.2_068.gff
169,N,1.0,0.2,s15_t1.0_a0.2_069.gff
170,N,1.0,0.2,s15_t1.0_a0.2_070.gff
171,N,1.0,0.2,s15_t1.0_a0.2_071.gff
172,N,1.0,0.2,s15_t1.0_a0.2_072.gff
173,Y,1.0,0.2,s15_t1.0_a0.2_073.gff
174,Y,1.0,0.2,s15_t1.0_a0.2_074.gff
175,N,1.0,0.2,s15_t1.0_a0.2_075.gff
176,N,1.0,0.2,s15_t1.0_a0.2_076.gff
177,N,1.0,0.2,s15_t1.0_a0.2_077.gff
178,N,1.0,0.2,s15_t1.0_a0.2_078.gff
179,N,1.0,0.2,s15_t1.0_a0.2_079.gff
180,N,1.0,0.2,s15_t1.0_a0.2_080.gff
181,N,1.0,0.2,s15_t1.0_a0.2_081.gff
182,N,1.0,0.2,s15_t1.0_a0.2_082.gff
183,N,1.0,0.2,s15_t1.0_a0.2_083.gff
184,N,1.0,0.2,s15_t1.0_a0.2_084.gff
185,N,1.0,0.2,s15_t1.0_a0.2_085.gff
186,N,1.0,0.2,s15_t1.0_a0.2_086.gff
187,N,1.0,0.2,s15_t1.0_a0.2_087.gff
188,N,1.0,0.2,s15_t1.0_a0.2_088.gff
189,N,1.0,0.2,s15_t1.0_a0.2_089.gff
190,N,1.0,0.2,s15_t1.0_a0.2_090.gff
191,N,1.0,0.2,s15_t1.0_a0.2_091.gff
192,N,1.0,0.2,s15_t1.0_a0.2_092.gff
193,N,1.0,0.2,s15_t1.0_a0.2_093.gff
194,N,1.0,0.2,s15_t1.0_a0.2_094.gff
195,N,1.0,0.2,s15_t1.0_a0.2_095.gff
196,N,1.0,0.2,s15_t1.0_a0.2_096.gff
197,N,1.0,0.2,s15_t1.0_a0.2_097.gff
198,N,1.0,0.2,s15_t1.0_a0.2_098.gff
199,N,1.0,0.2,s15_t1.0_a0.2_099.gff
200,N,1.0,0.2,s15_t1.0_a0.2_100.gff
201,N,1.0,0.3,s15_t1.0_a0.3_001.gff
202,N,1.0,0.3,s15_t1.0_a0.3_002.gff
203,N,1.0,0.3,s15_t1.0_a0.3_003.gff
204,N,1.0,0.3,s15_t1.0_a0.3_004.gff
205,N,1.0,0.3,s15_t1.0_a0.3_005.gff
206,N,1.0,0.3,s15_t1.0_a0.3_006.gff
207,N,1.0,0.3,s15_t1.0_a0.3_007.gff
208,N,1.0,0.3,s15_t1.0_a0.3_008.gff
209,N,1.0,0.3,s15_t1.0_a0.3_009.gff
210,N,1.0,0.3,s15_t1.0_a0.3_010.gff
211,N,1.0,0.3,s15_t1.0_a0.3_011.gff
212,N,1.0,0.3,s15_t1.0_a0.3_012.gff
213,N,1.0,0.3,s15_t1.0_a0.3_013.gff
214,N,1.0,0.3,s15_t1.0_a0.3_014.gff
215,N,1.0,0.3,s15_t1.0_a0.3_015.gff
216,N,1.0,0.3,s15_t1.0_a0.3_016.gff
217,N,1.0,0.3,s15_t1.0_a0.3_017.gff
218,N,1.0,0.3,s15_t1.0_a0.3_018.gff
219,N,1.0,0.3,s15_t1.0_a0.3_019.gff
220,N,1.0,0.3,s15_t1.0_a0.3_020.gff
221,Y,1.0,0.3,s15_t1.0_a0.3_021.gff
222,N,1.0,0.3,s15_t1.0_a0.3_022.gff
223,N,1.0,0.3,s15_t1.0_a0.3_023.gff
224,N,1.0,0.3,s15_t1.0_a0.3_024.gff
225,N,1.0,0.3,s15_t1.0_a0.3_025.gff
226,N,1.0,0.3,s15_t1.0_a0.3_026.gff
227,N,1.0,0.3,s15_t1.0_a0.3_027.gff
228,N,1.0,0.3,s15_t1.0_a0.3_028.gff
229,N,1.0,0.3,s15_t1.0_a0.3_029.gff
230,Y,1.0,0.3,s15_t1.0_a0.3_030.gff
231,N,1.0,0.3,s15_t1.0_a0.3_031.gff
232,N,1.0,0.3,s15_t1.0_a0.3_032.gff
233,N,1.0,0.3,s15_t1.0_a0.3_033.gff
234,N,1.0,0.3,s15_t1.0_a0.3_034.gff
235,N,1.0,0.3,s15_t1.0_a0.3_035.gff
236,N,1.0,0.3,s15_t1.0_a0.3_036.gff
237,N,1.0,0.3,s15_t1.0_a0.3_037.gff
238,N,1.0,0.3,s15_t1.0_a0.3_038.gff
239,N,1.0,0.3,s15_t1.0_a0.3_039.gff
240,N,1.0,0.3,s15_t1.0_a0.3_040.gff
241,N,1.0,0.3,s15_t1.0_a0.3_041.gff
242,N,1.0,0.3,s15_t1.0_a0.3_042.gff
243,N,1.0,0.3,s15_t1.0_a0.3_043.gff
244,N,1.0,0.3,s15_t1.0_a0.3_044.gff
245,N,1.0,0.3,s15_t1.0_a0.3_045.gff
246,N,1.0,0.3,s15_t1.0_a0.3_046.gff
247,N,1.0,0.3,s15_t1.0_a0.3_047.gff
248,N,1.0,0.3,s15_t1.0_a0.3_048.gff
249,N,1.0,0.3,s15_t1.0_a0.3_049.gff
250,N,1.0,0.3,s15_t1.0_a0.3_050.gff
251,N,1.0,0.3,s15_t1.0_a0.3_051.gff
252,N,1.0,0.3,s15_t1.0_a0.3_052.gff
253,Y,1.0,0.3,s15_t1.0_a0.3_053.gff
254,N,1.0,0.3,s15_t1.0_a0.3_054.gff
255,N,1.0,0.3,s15_t1.0_a0.3_055.gff
256,N,1.0,0.3,s15_t1.0_a0.3_056.gff
257,N,1.0,0.3,s15_t1.0_a0.3_057.gff
258,N,1.0,0.3,s15_t1.0_a0.3_058.gff
259,N,1.0,0.3,s15_t1.0_a0.3_059.gff
260,N,1.0,0.3,s15_t1.0_a0.3_060.gff
261,N,1.0,0.3,s15_t1.0_a0.3_061.gff
262,N,1.0,0.3,s15_t1.0_a0.3_062.gff
263,N,1.0,0.3,s15_t1.0_a0.3_063.gff
264,N,1.0,0.3,s15_t1.0_a0.3_064.gff
265,N,1.0,0.3,s15_t1.0_a0.3_065.gff
266,N,1.0,0.3,s15_t1.0_a0.3_066.gff
267,N,1.0,0.3,s15_t1.0_a0.3_067.gff
268,N,1.0,0.3,s15_t1.0_a0.3_068.gff
269,N,1.0,0.3,s15_t1.0_a0.3_069.gff
270,N,1.0,0.3,s15_t1.0_a0.3_070.gff
271,N,1.0,0.3,s15_t1.0_a0.3_071.gff
272,N,1.0,0.3,s15_t1.0_a0.3_072.gff
273,N,1.0,0.3,s15_t1.0_a0.3_073.gff
274,N,1.0,0.3,s15_t1.0_a0.3_074.gff
275,N,1.0,0.3,s15_t1.0_a0.3_075.gff
276,N,1.0,0.3,s15_t1.0_a0.3_076.gff
277,N,1.0,0.3,s15_t1.0_a0.3_077.gff
278,N,1.0,0.3,s15_t1.0_a0.3_078.gff
279,N,1.0,0.3,s15_t1.0_a0.3_079.gff
280,Y,1.0,0.3,s15_t1.0_a0.3_080.gff
281,N,1.0,0.3,s15_t1.0_a0.3_081.gff
282,N,1.0,0.3,s15_t1.0_a0.3_082.gff
283,N,1.0,0.3,s15_t1.0_a0.3_083.gff
284,N,1.0,0.3,s15_t1.0_a0.3_084.gff
285,N,1.0,0.3,s15_t1.0_a0.3_085.gff
286,N,1.0,0.3,s15_t1.0_a0.3_086.gff
287,N,1.0,0.3,s15_t1.0_a0.3_087.gff
288,N,1.0,0.3,s15_t1.0_a0.3_088.gff
289,N,1.0,0.3,s15_t1.0_a0.3_089.gff
290,Y,1.0,0.3,s15_t1.0_a0.3_090.gff
291,N,1.0,0.3,s15_t1.0_a0.3_091.gff
292,N,1.0,0.3,s15_t1.0_a0.3_092.gff
293,N,1.0,0.3,s15_t1.0_a0.3_093.gff
294,N,1.0,0.3,s15_t1.0_a0.3_094.gff
295,N,1.0,0.3,s15_t1.0_a0.3_095.gff
296,N,1.0,0.3,s15_t1.0_a0.3_096.gff
297,N,1.0,0.3,s15_t1.0_a0.3_097.gff
298,N,1.0,0.3,s15_t1.0_a0.3_098.gff
299,N,1.0,0.3,s15_t1.0_a0.3_099.gff
300,N,1.0,0.3,s15_t1.0_a0.3_100.gff
301,N,1.0,0.4,s15_t1.0_a0.4_001.gff
302,N,1.0,0.4,s15_t1.0_a0.4_002.gff
303,N,1.0,0.4,s15_t1.0_a0.4_003.gff
304,N,1.0,0.4,s15_t1.0_a0.4_004.gff
305,N,1.0,0.4,s15_t1.0_a0.4_005.gff
306,N,1.0,0.4,s15_t1.0_a0.4_006.gff
307,N,1.0,0.4,s15_t1.0_a0.4_007.gff
308,N,1.0,0.4,s15_t1.0_a0.4_008.gff
309,N,1.0,0.4,s15_t1.0_a0.4_009.gff
310,Y,1.0,0.4,s15_t1.0_a0.4_010.gff
311,N,1.0,0.4,s15_t1.0_a0.4_011.gff
312,N,1.0,0.4,s15_t1.0_a0.4_012.gff
313,N,1.0,0.4,s15_t1.0_a0.4_013.gff
314,N,1.0,0.4,s15_t1.0_a0.4_014.gff
315,N,1.0,0.4,s15_t1.0_a0.4_015.gff
316,N,1.0,0.4,s15_t1.0_a0.4_016.gff
317,N,1.0,0.4,s15_t1.0_a0.4_017.gff
318,N,1.0,0.4,s15_t1.0_a0.4_018.gff
319,N,1.0,0.4,s15_t1.0_a0.4_019.gff
320,N,1.0,0.4,s15_t1.0_a0.4_020.gff
321,N,1.0,0.4,s15_t1.0_a0.4_021.gff
322,N,1.0,0.4,s15_t1.0_a0.4_022.gff
323,N,1.0,0.4,s15_t1.0_a0.4_023.gff
324,Y,1.0,0.4,s15_t1.0_a0.4_024.gff
325,N,1.0,0.4,s15_t1.0_a0.4_025.gff
326,N,1.0,0.4,s15_t1.0_a0.4_026.gff
327,N,1.0,0.4,s15_t1.0_a0.4_027.gff
328,N,1.0,0.4,s15_t1.0_a0.4_028.gff
329,N,1.0,0.4,s15_t1.0_a0.4_029.gff
330,N,1.0,0.4,s15_t1.0_a0.4_030.gff
331,N,1.0,0.4,s15_t1.0_a0.4_031.gff
332,N,1.0,0.4,s15_t1.0_a0.4_032.gff
333,N,1.0,0.4,s15_t1.0_a0.4_033.gff
334,N,1.0,0.4,s15_t1.0_a0.4_034.gff
335,N,1.0,0.4,s15_t1.0_a0.4_035.gff
336,N,1.0,0.4,s15_t1.0_a0.4_036.gff
337,Y,1.0,0.4,s15_t1.0_a0.4_037.gff
338,N,1.0,0.4,s15_t1.0_a0.4_038.gff
339,N,1.0,0.4,s15_t1.0_a0.4_039.gff
340,N,1.0,0.4,s15_t1.0_a0.4_040.gff
341,N,1.0,0.4,s15_t1.0_a0.4_041.gff
342,Y,1.0,0.4,s15_t1.0_a0.4_042.gff
343,N,1.0,0.4,s15_t1.0_a0.4_043.gff
344,N,1.0,0.4,s15_t1.0_a0.4_044.gff
345,N,1.0,0.4,s15_t1.0_a0.4_045.gff
346,N,1.0,0.4,s15_t1.0_a0.4_046.gff
347,N,1.0,0.4,s15_t1.0_a0.4_047.gff
348,N,1.0,0.4,s15_t1.0_a0.4_048.gff
349,N,1.0,0.4,s15_t1.0_a0.4_049.gff
350,N,1.0,0.4,s15_t1.0_a0.4_050.gff
351,N,1.0,0.4,s15_t1.0_a0.4_051.gff
352,N,1.0,0.4,s15_t1.0_a0.4_052.gff
353,N,1.0,0.4,s15_t1.0_a0.4_053.gff
354,N,1.0,0.4,s15_t1.0_a0.4_054.gff
355,N,1.0,0.4,s15_t1.0_a0.4_055.gff
356,N,1.0,0.4,s15_t1.0_a0.4_056.gff
357,N,1.0,0.4,s15_t1.0_a0.4_057.gff
358,N,1.0,0.4,s15_t1.0_a0.4_058.gff
359,Y,1.0,0.4,s15_t1.0_a0.4_059.gff
360,N,1.0,0.4,s15_t1.0_a0.4_060.gff
361,N,1.0,0.4,s15_t1.0_a0.4_061.gff
362,N,1.0,0.4,s15_t1.0_a0.4_062.gff
363,N,1.0,0.4,s15_t1.0_a0.4_063.gff
364,N,1.0,0.4,s15_t1.0_a0.4_064.gff
365,N,1.0,0.4,s15_t1.0_a0.4_065.gff
366,N,1.0,0.4,s15_t1.0_a0.4_066.gff
367,N,1.0,0.4,s15_t1.0_a0.4_067.gff
368,N,1.0,0.4,s15_t1.0_a0.4_068.gff
369,N,1.0,0.4,s15_t1.0_a0.4_069.gff
370,N,1.0,0.4,s15_t1.0_a0.4_070.gff
371,N,1.0,0.4,s15_t1.0_a0.4_071.gff
372,N,1.0,0.4,s15_t1.0_a0.4_072.gff
373,N,1.0,0.4,s15_t1.0_a0.4_073.gff
374,N,1.0,0.4,s15_t1.0_a0.4_074.gff
375,N,1.0,0.4,s15_t1.0_a0.4_075.gff
376,N,1.0,0.4,s15_t1.0_a0.4_076.gff
377,N,1.0,0.4,s15_t1.0_a0.4_077.gff
378,N,1.0,0.4,s15_t1.0_a0.4_078.gff
379,N,1.0,0.4,s15_t1.0_a0.4_079.gff
380,N,1.0,0.4,s15_t1.0_a0.4_080.gff
381,N,1.0,0.4,s15_t1.0_a0.4_081.gff
382,N,1.0,0.4,s15_t1.0_a0.4_082.gff
383,N,1.0,0.4,s15_t1.0_a0.4_083.gff
384,N,1.0,0.4,s15_t1.0_a0.4_084.gff
385,N,1.0,0.4,s15_t1.0_a0.4_085.gff
386,N,1.0,0.4,s15_t1.0_a0.4_086.gff
387,N,1.0,0.4,s15_t1.0_a0.4_087.gff
388,N,1.0,0.4,s15_t1.0_a0.4_088.gff
389,N,1.0,0.4,s15_t1.0_a0.4_089.gff
390,N,1.0,0.4,s15_t1.0_a0.4_090.gff
391,N,1.0,0.4,s15_t1.0_a0.4_091.gff
392,N,1.0,0.4,s15_t1.0_a0.4_092.gff
393,N,1.0,0.4,s15_t1.0_a0.4_093.gff
394,N,1.0,0.4,s15_t1.0_a0.4_094.gff
395,Y,1.0,0.4,s15_t1.0_a0.4_095.gff
396,N,1.0,0.4,s15_t1.0_a0.4_096.gff
397,N,1.0,0.4,s15_t1.0_a0.4_097.gff
398,N,1.0,0.4,s15_t1.0_a0.4_098.gff
399,Y,1.0,0.4,s15_t1.0_a0.4_099.gff
400,N,1.0,0.4,s15_t1.0_a0.4_100.gff
401,N,1.0,0.5,s15_t1.0_a0.5_001.gff
402,N,1.0,0.5,s15_t1.0_a0.5_002.gff
403,N,1.0,0.5,s15_t1.0_a0.5_003.gff
404,N,1.0,0.5,s15_t1.0_a0.5_004.gff
405,N,1.0,0.5,s15_t1.0_a0.5_005.gff
406,N,1.0,0.5,s15_t1.0_a0.5_006.gff
407,N,1.0,0.5,s15_t1.0_a0.5_007.gff
408,N,1.0,0.5,s15_t1.0_a0.5_008.gff
409,N,1.0,0.5,s15_t1.0_a0.5_009.gff
410,Y,1.0,0.5,s15_t1.0_a0.5_010.gff
411,Y,1.0,0.5,s15_t1.0_a0.5_011.gff
412,N,1.0,0.5,s15_t1.0_a0.5_012.gff
413,N,1.0,0.5,s15_t1.0_a0.5_013.gff
414,N,1.0,0.5,s15_t1.0_a0.5_014.gff
415,N,1.0,0.5,s15_t1.0_a0.5_015.gff
416,N,1.0,0.5,s15_t1.0_a0.5_016.gff
417,N,1.0,0.5,s15_t1.0_a0.5_017.gff
418,N,1.0,0.5,s15_t1.0_a0.5_018.gff
419,N,1.0,0.5,s15_t1.0_a0.5_019.gff
420,N,1.0,0.5,s15_t1.0_a0.5_020.gff
421,N,1.0,0.5,s15_t1.0_a0.5_021.gff
422,Y,1.0,0.5,s15_t1.0_a0.5_022.gff
423,N,1.0,0.5,s15_t1.0_a0.5_023.gff
424,Y,1.0,0.5,s15_t1.0_a0.5_024.gff
425,N,1.0,0.5,s15_t1.0_a0.5_025.gff
426,N,1.0,0.5,s15_t1.0_a0.5_026.gff
427,Y,1.0,0.5,s15_t1.0_a0.5_027.gff
428,N,1.0,0.5,s15_t1.0_a0.5_028.gff
429,N,1.0,0.5,s15_t1.0_a0.5_029.gff
430,N,1.0,0.5,s15_t1.0_a0.5_030.gff
431,N,1.0,0.5,s15_t1.0_a0.5_031.gff
432,N,1.0,0.5,s15_t1.0_a0.5_032.gff
433,N,1.0,0.5,s15_t1.0_a0.5_033.gff
434,N,1.0,0.5,s15_t1.0_a0.5_034.gff
435,N,1.0,0.5,s15_t1.0_a0.5_035.gff
436,N,1.0,0.5,s15_t1.0_a0.5_036.gff
437,N,1.0,0.5,s15_t1.0_a0.5_037.gff
438,N,1.0,0.5,s15_t1.0_a0.5_038.gff
439,N,1.0,0.5,s15_t1.0_a0.5_039.gff
440,N,1.0,0.5,s15_t1.0_a0.5_040.gff
441,N,1.0,0.5,s15_t1.0_a0.5_041.gff
442,N,1.0,0.5,s15_t1.0_a0.5_042.gff
443,N,1.0,0.5,s15_t1.0_a0.5_043.gff
444,N,1.0,0.5,s15_t1.0_a0.5_044.gff
445,N,1.0,0.5,s15_t1.0_a0.5_045.gff
446,N,1.0,0.5,s15_t1.0_a0.5_046.gff
447,N,1.0,0.5,s15_t1.0_a0.5_047.gff
448,N,1.0,0.5,s15_t1.0_a0.5_048.gff
449,N,1.0,0.5,s15_t1.0_a0.5_049.gff
450,N,1.0,0.5,s15_t1.0_a0.5_050.gff
451,N,1.0,0.5,s15_t1.0_a0.5_051.gff
452,N,1.0,0.5,s15_t1.0_a0.5_052.gff
453,N,1.0,0.5,s15_t1.0_a0.5_053.gff
454,Y,1.0,0.5,s15_t1.0_a0.5_054.gff
455,N,1.0,0.5,s15_t1.0_a0.5_055.gff
